base_set	reference_set	base_size	reference_size	overlapping_genes	percentage	species
M_to_H_connectOR	M_to_H_Liftoff	9142	1722	1703	.18628308903959746226	Mouse
M_to_H_Liftoff	H-M_Liftoff_1to1	1722	1053	1053	.61149825783972125435	Mouse
M_to_H_Liftoff	H_to_M_connectOR_005_1to1	1722	3712	1001	.58130081300813008130	Mouse
M_to_H_Liftoff	H_to_M_connectOR_005	1722	10851	1690	.98141695702671312427	Mouse
M_to_H_Liftoff	H_to_M_connectOR_1to1	1722	3531	997	.57897793263646922183	Mouse
M_to_H_Liftoff	H_to_M_connectOR	1722	10804	1689	.98083623693379790940	Mouse
M_to_H_Liftoff	H_to_M_Liftoff	1722	1603	1256	.72938443670150987224	Mouse
M_to_H_Liftoff	M_to_H_connectOR_005_1to1	1722	3712	1001	.58130081300813008130	Mouse
M_to_H_Liftoff	M_to_H_connectOR_005	1722	9181	1699	.98664343786295005807	Mouse
M_to_H_Liftoff	M_to_H_connectOR_1to1	1722	3531	997	.57897793263646922183	Mouse
M_to_H_Liftoff	M_to_H_connectOR	1722	9142	1703	.98896631823461091753	Mouse
M_to_H_Liftoff	M_to_H_Liftoff	1722	1722	1722	1.00000000000000000000	Mouse
