spec	filterThreshold	supportedICs	percsupportedICs	tech	support
Hv3	112	7346	77.6287	intergenic_pacBio+ONT_ICs	supported
Hv3	113	332676	70.9939	all_ICs	supported
Hv3	113	33649	81.9209	all_pacBioOnly_ICs	supported
Hv3	113	190287	61.7438	all_ONTonly_ICs	supported
Hv3	113	108740	91.1216	all_pacBio+ONT_ICs	supported
Hv3	113	78848	62.2556	novel_ICs	supported
Hv3	113	7387	73.9513	novel_pacBioOnly_ICs	supported
Hv3	113	47703	53.9096	novel_ONTonly_ICs	supported
Hv3	113	23758	84.32	novel_pacBio+ONT_ICs	supported
Hv3	113	28452	59.6653	intergenic_ICs	supported
Hv3	113	1244	56.0866	intergenic_pacBioOnly_ICs	supported
Hv3	113	19869	55.184	intergenic_ONTonly_ICs	supported
Hv3	113	7339	77.5547	intergenic_pacBio+ONT_ICs	supported
Hv3	114	332419	70.9391	all_ICs	supported
Hv3	114	33635	81.8868	all_pacBioOnly_ICs	supported
Hv3	114	190066	61.6721	all_ONTonly_ICs	supported
Hv3	114	108718	91.1032	all_pacBio+ONT_ICs	supported
Hv3	114	78756	62.183	novel_ICs	supported
Hv3	114	7381	73.8913	novel_pacBioOnly_ICs	supported
Hv3	114	47628	53.8249	novel_ONTonly_ICs	supported
Hv3	114	23747	84.2809	novel_pacBio+ONT_ICs	supported
Hv3	114	28397	59.55	intergenic_ICs	supported
Hv3	114	1240	55.9062	intergenic_pacBioOnly_ICs	supported
Hv3	114	19823	55.0562	intergenic_ONTonly_ICs	supported
Hv3	114	7334	77.5018	intergenic_pacBio+ONT_ICs	supported
Hv3	115	332163	70.8844	all_ICs	supported
Hv3	115	33619	81.8478	all_pacBioOnly_ICs	supported
Hv3	115	189855	61.6036	all_ONTonly_ICs	supported
Hv3	115	108689	91.0789	all_pacBio+ONT_ICs	supported
Hv3	115	78659	62.1064	novel_ICs	supported
Hv3	115	7373	73.8112	novel_pacBioOnly_ICs	supported
Hv3	115	47551	53.7378	novel_ONTonly_ICs	supported
Hv3	115	23735	84.2384	novel_pacBio+ONT_ICs	supported
Hv3	115	28349	59.4493	intergenic_ICs	supported
Hv3	115	1239	55.8611	intergenic_pacBioOnly_ICs	supported
Hv3	115	19779	54.934	intergenic_ONTonly_ICs	supported
Hv3	115	7331	77.4701	intergenic_pacBio+ONT_ICs	supported
Hv3	116	331905	70.8294	all_ICs	supported
Hv3	116	33602	81.8065	all_pacBioOnly_ICs	supported
Hv3	116	189648	61.5365	all_ONTonly_ICs	supported
Hv3	116	108655	91.0504	all_pacBio+ONT_ICs	supported
Hv3	116	78570	62.0361	novel_ICs	supported
Hv3	116	7365	73.7311	novel_pacBioOnly_ICs	supported
Hv3	116	47486	53.6644	novel_ONTonly_ICs	supported
Hv3	116	23719	84.1816	novel_pacBio+ONT_ICs	supported
Hv3	116	28316	59.3801	intergenic_ICs	supported
Hv3	116	1237	55.771	intergenic_pacBioOnly_ICs	supported
Hv3	116	19752	54.859	intergenic_ONTonly_ICs	supported
Hv3	116	7327	77.4279	intergenic_pacBio+ONT_ICs	supported
Hv3	117	331701	70.7858	all_ICs	supported
Hv3	117	33588	81.7724	all_pacBioOnly_ICs	supported
Hv3	117	189482	61.4826	all_ONTonly_ICs	supported
Hv3	117	108631	91.0303	all_pacBio+ONT_ICs	supported
Hv3	117	78492	61.9745	novel_ICs	supported
Hv3	117	7361	73.6911	novel_pacBioOnly_ICs	supported
Hv3	117	47423	53.5932	novel_ONTonly_ICs	supported
Hv3	117	23708	84.1425	novel_pacBio+ONT_ICs	supported
Hv3	117	28279	59.3025	intergenic_ICs	supported
Hv3	117	1234	55.6357	intergenic_pacBioOnly_ICs	supported
Hv3	117	19724	54.7813	intergenic_ONTonly_ICs	supported
Hv3	117	7321	77.3645	intergenic_pacBio+ONT_ICs	supported
Hv3	118	331439	70.7299	all_ICs	supported
Hv3	118	33573	81.7358	all_pacBioOnly_ICs	supported
Hv3	118	189260	61.4106	all_ONTonly_ICs	supported
Hv3	118	108606	91.0093	all_pacBio+ONT_ICs	supported
Hv3	118	78394	61.8972	novel_ICs	supported
Hv3	118	7358	73.661	novel_pacBioOnly_ICs	supported
Hv3	118	47340	53.4994	novel_ONTonly_ICs	supported
Hv3	118	23696	84.0999	novel_pacBio+ONT_ICs	supported
Hv3	118	28222	59.183	intergenic_ICs	supported
Hv3	118	1232	55.5455	intergenic_pacBioOnly_ICs	supported
Hv3	118	19677	54.6507	intergenic_ONTonly_ICs	supported
Hv3	118	7313	77.2799	intergenic_pacBio+ONT_ICs	supported
Hv3	119	331205	70.68	all_ICs	supported
Hv3	119	33562	81.7091	all_pacBioOnly_ICs	supported
Hv3	119	189069	61.3486	all_ONTonly_ICs	supported
Hv3	119	108574	90.9825	all_pacBio+ONT_ICs	supported
Hv3	119	78300	61.8229	novel_ICs	supported
Hv3	119	7353	73.611	novel_pacBioOnly_ICs	supported
Hv3	119	47269	53.4191	novel_ONTonly_ICs	supported
Hv3	119	23678	84.0361	novel_pacBio+ONT_ICs	supported
Hv3	119	28176	59.0865	intergenic_ICs	supported
Hv3	119	1231	55.5005	intergenic_pacBioOnly_ICs	supported
Hv3	119	19638	54.5424	intergenic_ONTonly_ICs	supported
Hv3	119	7307	77.2165	intergenic_pacBio+ONT_ICs	supported
Hv3	11	371123	79.1986	all_ICs	supported
Hv3	11	36280	88.3262	all_pacBioOnly_ICs	supported
Hv3	11	222499	72.1959	all_ONTonly_ICs	supported
Hv3	11	112344	94.1417	all_pacBio+ONT_ICs	supported
